PLAYER,NO.,POS,HEIGHT,WEIGHT,BIRTHDATE,AGE,EXP,SCHOOL
Kevin Love,#0,F-C,10-Jun,251 lbs,7-Sep-88,29,9,UCLA
Derrick Rose,#1,G,3-Jun,190 lbs,4-Oct-88,29,8,Memphis
Isaiah Thomas,#3,G,9-May,185 lbs,7-Feb-89,28,6,Washington
Iman Shumpert,#4,G,5-Jun,220 lbs,26-Jun-90,27,6,Georgia Tech
JR Smith,#5,G-F,6-Jun,225 lbs,9-Sep-85,32,13,St. Benedict's Prep (NJ)
Channing Frye,#8,F,11-Jun,255 lbs,17-May-83,34,11,Arizona
Dwyane Wade,#9,G,4-Jun,220 lbs,17-Jan-82,35,14,Marquette
John Holland,#10,G-F,5-Jun,205 lbs,6-Nov-88,29,1,Boston U.
Tristan Thompson,#13,C-F,9-Jun,238 lbs,13-Mar-91,26,6,Texas
London Perrantes,#15,G,2-Jun,190 lbs,3-Oct-94,23,R,Virginia
Cedi Osman,#16,F,8-Jun,215 lbs,8-Apr-95,22,R,Anadolu Efes
LeBron James,#23,F-G,8-Jun,250 lbs,30-Dec-84,32,14,St. Vincent-St. Mary HS (OH)
Kyle Korver,#26,G,7-Jun,212 lbs,17-Mar-81,36,14,Creighton
Jeff Green,#32,F,9-Jun,235 lbs,28-Aug-86,31,9,Georgetown
Ante Zizic,#41,F-C,11-Jun,250 lbs,4-Jan-97,20,R,
Jose Calderon,#81,G,3-Jun,200 lbs,28-Sep-81,36,12,"Villanueva de la Serena, Spain"
Jae Crowder,#99,F,6-Jun,235 lbs,6-Jul-90,27,5,Marquette
